Wat?;Extra regel;Links;Waarderen;Getuigschriften;Inschrijven/aanmelden;Overig;Meeloopstage;Juniorstage;IPL;BVP;PZW;Minor;Startdatum;Einddatum;Tijd startdatum;Tijd einddatum;Deadline;P;H1;H2/3
Juniorstage: inschrijven stageplaatsen;Voor studenten HF1 die in week 3.1 gaan stagelopen;https://praktijkaanbod.han.nl/nl-NL/;;;;;;v;;;;;9-12-2025;11-12-2025;;;;;v;
Osiris: intekenen onderwijs en tentamens semester 2;Voor studenten H1 en H2/3 die in semester 2 PZW, BVP of Minor doen. (Link bericht…);;;;v;;;;;;;;5-1-2026;16-1-2026;00:00;23:59;;;v;v
BVP: check lijst toelaatbaarheid ronde 3;"Voor studenten BVP1 en BVP2 die in S2 stage willen lopen
";Praktijkbureau;v;;;;;;;v;;;5-1-2026;;;;;;v;v
BVP: ronde 3;Voor studenten die toelaatbaar zijn tot BVP1 of BVP2 in S2 25/26 en nog geen stageplaats hebben;Praktijkbureau;;;;;;;;v;;;5-1-2026;1-2-2026;;;;;v;v
PZW: opdrachten verdeeld;"Voor onderwijs in semester 2 2025/2026
PZW opdracht wordt bekend gemaakt door organisatie PZW";;;;;;;;;;v;;Volgt;;;;;;v;v
IPL: Inschrijven;Start IPL in lesweek 3.2;https://praktijkaanbod.han.nl/nl-NL/;;;;;;;v;;;;27-1-2026;28-2-2026;;;;;v;
Bachelor getuigschrift: aanvragen getuigschrift in Osiris;"Uiterste deadline om bachelor getuigschrift aan te vragen voor diploma-uitreiking februari
Informatie volgt";;;v;;v;;;;;;;;28-1-2026;;;;;;v
;;;;;;;;;;;;;;;;;;;;
Studentarena 4 x plannen;;;;;;;;;;;;;;;;;;;;
Studentarena 2 in CoP;Voor afvaardiging van 1e, 2e, 3e en 4e jaars, evaluatie van het blok;;;;;v;;;;;;;;;;;;;v;v
Studentarena 2 in CoP;Voor afvaardiging van 1e, 2e, 3e en 4e jaars, evaluatie van het blok;;;;;v;;;;;;;5-1-2026;9-1-2026;;;;v;v;v
BVP: evaluatie stage;Voor studenten BVP1 en BVP 2 semester 1;Via Forms;;;;;;;;v;;;26-1-2026;30-1-2026;;;;;v;v
Juniorstage: evaluatie stage;Voor studenten Juniorstage semester 1;Via Forms;;;;;;v;;;;;26-1-2026;30-1-2026;;;;v;;
BVP: check toelaatbaarheid tot stage;"Voor studenten BVP1 en BVP2 die in S2 stage willen lopen
";;;;;;;;;v;;;26-1-2026;30-1-2026;;;;;v;v
